route_id,service_id,trip_id,trip_headsign,direction_id,block_id,wheelchair_accessible,bikes_allowed
42,10-1-127,1582791479,MONTPELLIER - Mosson,1,,,
42,10-1-127,1582791480,MONTPELLIER - Mosson,1,,,
40,10-1-127,1582791481,MONTPELLIER - Mosson,1,,,
40,10-1-127,1582791482,ST GEORGES D ORQUES - Zone Artisanale,0,,,
40,10-1-127,1582791483,MONTPELLIER - Mosson,1,,,
40,10-1-127,1582791484,MONTPELLIER - Mosson,1,,,
40,10-1-127,1582791485,MONTPELLIER - Mosson,1,,,
40,10-1-127,1582791486,MONTPELLIER - Mosson,1,,,
40,10-1-127,1582791487,MONTPELLIER - Mosson,1,,,
40,10-1-127,1582791488,ST GEORGES D ORQUES - Zone Artisanale,0,,,
40,10-1-127,1582791489,ST GEORGES D ORQUES - Zone Artisanale,0,,,
40,10-1-127,1582791490,ST GEORGES D ORQUES - Zone Artisanale,0,,,
40,10-1-127,1582791491,ST GEORGES D ORQUES - Zone Artisanale,0,,,
40,10-1-127,1582791492,ST GEORGES D ORQUES - Zone Artisanale,0,,,
34,12-1-127,1582791499,MONTPELLIER - Mosson,1,,,
34,12-1-127,1582791500,MONTPELLIER - Mosson,1,,,
34,12-1-127,1582791501,MONTPELLIER - Mosson,1,,,
34,12-1-127,1582791502,MONTPELLIER - Mosson,1,,,
34,12-1-127,1582791503,COURNONSEC - Les Clavoux,0,,,
34,12-1-127,1582791504,COURNONSEC - Les Clavoux,0,,,
34,12-1-127,1582791505,COURNONSEC - Les Clavoux,0,,,
34,12-1-127,1582791506,COURNONSEC - Les Clavoux,0,,,
34,12-1-127,1582791507,MONTPELLIER - Mosson,1,,,
34,12-1-127,1582791508,COURNONSEC - Les Clavoux,0,,,
34,12-1-127,1582791509,MONTPELLIER - Mosson,1,,,
34,12-1-127,1582791510,COURNONSEC - Les Clavoux,0,,,
34,12-1-127,1582791511,MONTPELLIER - Mosson,1,,,
34,12-1-127,1582791512,COURNONSEC - Les Clavoux,0,,,
34,12-1-127,1582791513,MONTPELLIER - Mosson,1,,,
34,12-1-127,1582791514,COURNONSEC - Les Clavoux,0,,,
34,12-1-127,1582791515,MONTPELLIER - Mosson,1,,,
34,12-1-127,1582791516,COURNONSEC - Les Clavoux,0,,,
34,12-1-127,1582791517,MONTPELLIER - Mosson,1,,,
34,12-1-127,1582791518,MONTPELLIER - Mosson,1,,,
34,12-1-127,1582791519,COURNONSEC - Les Clavoux,0,,,
34,12-1-127,1582791520,COURNONSEC - Les Clavoux,0,,,
40,9-1-127,1582791531,MONTPELLIER - Mosson,1,,,
40,9-1-127,1582791532,ST GEORGES D ORQUES - Zone Artisanale,0,,,
40,9-1-127,1582791533,ST GEORGES D ORQUES - Zone Artisanale,0,,,
40,9-1-127,1582791534,MONTPELLIER - Mosson,1,,,
40,9-1-127,1582791535,ST GEORGES D ORQUES - Zone Artisanale,0,,,
40,9-1-127,1582791536,ST GEORGES D ORQUES - Zone Artisanale,0,,,
40,9-1-127,1582791537,MONTPELLIER - Mosson,1,,,
40,9-1-127,1582791538,ST GEORGES D ORQUES - Zone Artisanale,0,,,
40,9-1-127,1582791539,ST GEORGES D ORQUES - Zone Artisanale,0,,,
40,9-1-127,1582791540,ST GEORGES D ORQUES - Zone Artisanale,0,,,
40,9-1-127,1582791541,MONTPELLIER - Mosson,1,,,
40,9-1-127,1582791542,MONTPELLIER - Mosson,1,,,
40,9-1-127,1582791543,MONTPELLIER - Mosson,1,,,
40,9-1-127,1582791544,ST GEORGES D ORQUES - Zone Artisanale,0,,,
40,9-1-127,1582791545,ST GEORGES D ORQUES - Zone Artisanale,0,,,
40,9-1-127,1582791546,MONTPELLIER - Mosson,1,,,
40,9-1-127,1582791547,MONTPELLIER - Mosson,1,,,
40,9-1-127,1582791548,ST GEORGES D ORQUES - Zone Artisanale,0,,,
40,9-1-127,1582791549,MONTPELLIER - Mosson,1,,,
40,9-1-127,1582791550,MONTPELLIER - Mosson,1,,,
40,9-1-127,1582791551,ST GEORGES D ORQUES - Zone Artisanale,0,,,
40,9-1-127,1582791552,ST GEORGES D ORQUES - Zone Artisanale,0,,,
40,9-1-127,1582791553,MONTPELLIER - Mosson,1,,,
40,9-1-127,1582791554,MONTPELLIER - Mosson,1,,,
40,9-1-127,1582791555,ST GEORGES D ORQUES - Zone Artisanale,0,,,
40,9-1-127,1582791556,ST GEORGES D ORQUES - Zone Artisanale,0,,,
40,9-1-127,1582791557,ST GEORGES D ORQUES - Zone Artisanale,0,,,
40,9-1-127,1582791558,MONTPELLIER - Mosson,1,,,
40,9-1-127,1582791559,MONTPELLIER - Mosson,1,,,
40,9-1-127,1582791560,ST GEORGES D ORQUES - Zone Artisanale,0,,,
40,9-1-127,1582791561,MONTPELLIER - Mosson,1,,,
40,9-1-127,1582791562,MONTPELLIER - Mosson,1,,,
40,9-1-127,1582791563,ST GEORGES D ORQUES - Zone Artisanale,0,,,
40,9-1-127,1582791564,MONTPELLIER - Mosson,1,,,
40,9-1-127,1582791565,MONTPELLIER - Mosson,1,,,
